username,location,text,tweet_date,hashtags_extracted,text_cleaned
Public Health - Seattle & King County,"Seattle & King County, WA","starting friday, april 15th, outlet collection mall #covid19 vaccine site in @auburn_wa will be open friday - monday, 10:30am to 7:00pm.

drop-ins welcome and same day appointments are available for vaccinations and boosters. for more information, go to: https://t.co/5l97kkz2vf. https://t.co/muunjrm3xa",2022-04-12 23:58:08+00:00,covid19,starting friday april th outlet collection mall vaccine site in will be open friday - monday 30am to 00pmdrop-ins welcome and same day appointments are available for vaccinations and boosters for more information go to 
Tian_A1,Everywhere,#pfizer's covid pill paxlovid gets boost in britain thanks to spot in [ https://t.co/b5wjx1x0el ] il y a 9heures pfizer's #covid19 vaccine and antiviral show little sign of slowing down in the the pandemic catapulted biontech into the #biotech big le https://t.co/di6c0mpniy,2022-04-12 23:56:05+00:00,"pfizer,covid19,biotech",s covid pill paxlovid gets boost in britain thanks to spot in [ ] il y a heures pfizers vaccine and antiviral show little sign of slowing down in the the pandemic catapulted biontech into the big le
Nina Sun,,a case study on why communities need to part of pandemic preparedness 👇👇👇 #covid19 https://t.co/mymescjxvg,2022-04-12 23:36:29+00:00,covid19,a case study on why communities need to part of pandemic preparedness
Tian_A1,Everywhere,"after initial hiccup, many private hospitals start offering #covid19 vaccine booster doses demand rises [ https://t.co/eqqkyl5ral ] il y a 18heures with both serum institute of #india and bharat #biotech asking private hospitals to start offering cov https://t.co/jffhsg7ek1",2022-04-12 23:07:06+00:00,"covid19,india,biotech",after initial hiccup many private hospitals start offering vaccine booster doses demand rises [ ] il y a heures with both serum institute of and bharat asking private hospitals to start offering cov
Colorado Department of Public Health & Environment,Colorado,"@cdcgov and cdphe have released covid-19 revaccination information for patients who received invalid doses of covid-19 vaccine at the centennial-based health now medical, llc (operating as health now family practice). 

press release: https://t.co/9i7pfosrwh",2022-04-12 22:45:56+00:00,,and cdphe have released covid-19 revaccination information for patients who received invalid doses of covid-19 vaccine at the centennial-based health now medical llc (operating as health now family practice) press release
Martin Oaks,"Lewisville, TX and Dallas, TX",dr. #jha new #covid19  #czar. #leadership #doctor #medicine #hospital #research #speaker #whitehouse #cdc #who #congress #usa #vaccine #booster #legal #masks #schools #travel https://t.co/ekmbmsfazx,2022-04-12 22:33:59+00:00,"jha,covid19,czar,leadership,doctor,medicine,hospital,research,speaker,whitehouse,cdc,who,congress,usa,vaccine,booster,legal,masks,schools,travel",dr new 
YourVaccinationGuide.org,,"get all the answers you are looking for about #covid-19 #vaccine on @yourvaccinationguide in english and spanish that includes advice from medical experts and testimonials from real people. stay in the know by visiting us! #vaccination #covid19 
https://t.co/ygnkg6vh5m",2022-04-12 22:30:38+00:00,"covid,vaccine,vaccination,covid19",get all the answers you are looking for about on in english and spanish that includes advice from medical experts and testimonials from real people stay in the know by visiting us!
North Bay Parry Sound District Health Unit,Northern Ontario,"18+, no symptoms and boosted? you don’t need to #isolate if a household member has #covid19 symptoms or tests positive. where to get your #booster: https://t.co/ndnsajpym6. info on isolation guidelines: https://t.co/yqroodqxxv, or on's testing &amp; isolation line: 1-888-777-0730 https://t.co/ykvzqsobzn",2022-04-12 22:30:05+00:00,"isolate,covid19,booster",+ no symptoms and boosted? you dont need to if a household member has symptoms or tests positive where to get your   info on isolation guidelines  or ons testing  isolation line1-888-777-0730
James Coleman,,"@variantomicron_ @johnnyx1987 @voisonmyopinion https://t.co/kpqh3wm7k8

https://t.co/ag3ulraxmb

https://t.co/2dz4brnnvm

https://t.co/z8unmnl0k1

and studies across the world agree:

https://t.co/h5zsaplch5

https://t.co/rgo6xcear6

https://t.co/k5b2egwvuy

but really, just speak to some virologists. speak to doctors.",2022-04-12 22:25:06+00:00,,studies across the world agree really just speak to some virologists speak to doctors
Pea Green Corner,,"@mootlvr66 @tentonheart i switched. first three shots pfizer, asked for and got moderna this time.  some preliminary findings suggest mixing may be better.  https://t.co/4ynfnyeeul",2022-04-12 22:07:46+00:00,,i switched first three shots pfizer asked for and got moderna this time some preliminary findings suggest mixing may be better
